 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	rlulery
Date:	6/26/2013 10:38:27 AM
StationID:	0
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	AET(mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
8/2/2001	38.0320033745548	13.1890517753873	6.14720488471911E-26	0	0	0	3.76872974465634	3.03117746746233	0.0195215423969128	0.0352484062953148	0	0
8/3/2001	43.3069132426833	13.1815264691223	0.01899060634429	0.00835155576137027	0.0585152508390366	0	3.73728521600631	3.73728521600631	3.26095011590049	0.602919958808496	0	7.742985474
8/4/2001	37.9921808805666	13.1837752152471	8.62172194177177E-07	0	0	0	3.71961317171799	3.21257086729497	0	0.357657116094547	0	0
8/5/2001	38.0042764895539	13.1870876431444	3.91425570587877E-11	0	0	0	3.72706155682586	0.0258389215145783	0	0.21403852067104	0	0
8/6/2001	37.9875746122614	13.1855170152481	1.77706934119514E-15	0	0	0	3.6950805273726	0.0256172054857788	0	0.12889135686607	0	0
8/7/2001	37.9534229937721	13.1802836196643	8.06788232733539E-20	0	0	0	3.72723918701227	0.0258401562721115	0	0.0780001970447713	0	0
8/8/2001	37.90852307705	13.1722982671637	3.6628129099307E-24	0	0	0	3.74543569797414	0.0259663104998511	0	0.0473960945939537	0	0
8/9/2001	43.3764048658937	13.1610317781832	0.0241238444340994	0.00422499609225039	0.0647928820990576	0	3.80331963661828	3.80331963661828	3.71972614780857	0.745483581946894	0	8.39876688
8/10/2001	37.8649674003037	13.1628945025366	1.09522084290828E-06	0	0	0	3.7953559650063	3.75537641777269	1.65351939497742	0.441830049054269	0	1.7291422
8/11/2001	37.8927003684906	13.1679458859045	4.97229493424106E-11	0	0	0	3.77541824458577	1.74545816994805	0	0.264238876670262	0	0.103722446
8/12/2001	37.8855433950464	13.1676698568663	2.25741840773147E-15	0	0	0	3.71595078681091	0.0257619048154516	0	0.159036652330903	0	0
8/13/2001	37.8573502892875	13.1634056825843	1.02486637155497E-19	0	0	0	3.55875163017948	0.0246720778629791	0	0.0961994052871692	0	0
8/14/2001	37.8162649148699	13.1561501057582	4.65288612845785E-24	0	0	0	3.43129679146205	0.0237884619052305	0	0.0584315311888862	0	0
8/15/2001	37.76715560935	13.1466482063974	2.11240703424529E-28	0	0	0	3.26337281458286	0.0226242817650165	0	0.0356173741206549	0	0
8/16/2001	37.7129927121514	13.1354587137866	9.59031309844218E-33	0	0	0	3.245145413625	0.0224979166303797	0	0.0217784155692745	0	0
8/17/2001	37.6556202422072	13.1230016788258	4.35399541069003E-37	0	0	0	3.095521099683	0.0214606040248767	0	0.0133535240773937	0	0
8/18/2001	37.5962014702075	13.1095935720279	1.97671085831661E-41	0	0	0	3.00431881432601	1.51584994572922	0	0.00820837627001419	0	1.50545869
8/19/2001	37.535481634797	13.0954732711403	8.97425341282432E-46	0	0	0	2.8868479385197	0.789075318480845	0	0.00505730221648133	0	0.77443038
