 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	rlulery
Date:	6/27/2013 11:49:57 AM
StationID:	0
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	AET(mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
9/18/2010	35.1129509470613	31.9557189143383	2.16966358885155E-12	0	0	0	1.66035721316096	0.0185007141035134	0	0.08244090727673	0	0
9/19/2010	34.9025021510538	31.7654179298603	9.85025745420741E-17	0	0	0	1.63739033278338	0.0182447923515548	0	0.0538461228674505	0	0
9/20/2010	34.692008867163	31.5752023585706	4.47200996563381E-21	0	0	0	1.62574720008096	0.0181150467868467	0	0.0353434273114427	0	0
9/21/2010	34.4821483044995	31.3856006674776	2.03028938336852E-25	0	0	0	1.66496681085233	0.0185520440416996	0	0.0232941902371094	0	0
9/22/2010	34.1874371427293	31.1080890810291	0.000330056220158476	0	0.00738736220590684	0	1.69875853034095	1.69875853034095	0.447069940565158	0.108776527918948	0	2.250209992
9/23/2010	34.0694771283254	31.0125435093492	1.49845292128606E-08	0	0	0	1.75808666808584	0.455571035671422	0	0.0700546790614025	0	0
9/24/2010	33.8691516149271	30.8312147122984	6.80296573788114E-13	0	0	0	1.72176752272987	0.235782838239228	0	0.0455263124546324	0	0.21903858
9/25/2010	33.6692451783038	30.6504017631554	3.08854166676767E-17	0	0	0	1.61755321896876	0.0180236899417796	0	0.0297712436915521	0	0
9/26/2010	33.4702734247898	30.4704886062174	1.40219574739781E-21	0	0	0	1.59986130676514	0.250735110847995	0	0.0195647305277852	0	0.235533014
9/27/2010	33.2725906089241	30.291753026946	6.3659588445139E-26	0	0	0	1.57743383695406	0.0175766353469513	0	0.0129101937555877	0	0
9/28/2010	33.0764431499863	30.114396083725	2.89014084412067E-30	0	0	0	1.45636421538057	0.0162276008650498	0	0.00854920809232004	0	0
9/29/2010	32.8820020955498	29.9385620449779	1.31212191326865E-34	0	0	0	1.37320740663927	0.0153010128935603	0	0.00567901352692071	0	0
9/30/2010	32.68938470387	29.7643527649997	5.95702427022644E-39	0	0	0	1.27249416697768	0.0141788029946523	0	0.00378300365986283	0	0
10/1/2010	32.4986693247833	29.5918382563123	2.70448483461664E-43	0	0	0	1.16678652342519	0.0130009442146792	0	0.00252644472773275	0	0
10/2/2010	32.7119707512768	29.3454178932191	0.0129519735346009	0	0.0412643784618244	0	1.11937891922887	1.11937891922887	3.13227354937859	0.657620698546258	0	4.99346463
10/3/2010	32.1427733567338	29.268661708006	5.88018688756033E-07	0	0	0	0.968256670461211	0.95470606305978	2.16402110001017	0.422270334878646	0	0
10/4/2010	31.9926652363484	29.1308823307471	2.66960071685235E-11	0	0	0	0.897195521398362	0.884639399411317	1.26682981651281	0.273818483827276	0	0
10/5/2010	31.8352316949519	28.9875807066752	1.21199685039202E-15	0	0	0	0.825690863833812	0.81413543482737	0.441143155159945	0.178747213539884	0	0
10/6/2010	31.6730252817432	28.8405438658869	5.50245718801676E-20	0	0	0	0.805480118002746	0.439852771971989	0	0.117300044391407	0	0
10/7/2010	31.5078254092286	28.6910886249854	2.49811169857083E-24	0	0	0	0.777520086611396	0.00866350054348048	0	0.0773113714100968	0	0
10/8/2010	31.3408969071524	28.5401970714771	1.13414095654104E-28	0	0	0	0.779938304051725	0.00869043969207446	0	0.0511449785008741	0	0
10/9/2010	31.1731512165762	28.3886051572407	5.14899197677583E-33	0	0	0	0.781875941226259	0.00871202392615036	0	0.0339453013471553	0	0
10/10/2010	31.00525081405	28.2368655398084	2.33763874093276E-37	0	0	0	0.786737675132152	0.0087661897197611	0	0.0225956003828265	0	0
10/11/2010	30.8376797243359	28.0853933215076	1.06128634648336E-41	0	0	0	0.830852948194161	0.00925773593785107	0	0.0150805999910568	0	0
10/12/2010	30.6707924164751	27.9344998180171	4.81823255882594E-46	0	0	0	0.830336997851666	0.609816088845653	0	0.0100895036897101	0	0.607331355
10/13/2010	69.6528660075032	27.7637671231819	0.24354888449521	0.801887203189958	0.116755557663707	0	0.859141025674846	0.859141025674846	20.0288713811887	3.88930511986338	0	26.605556164
10/14/2010	30.5009431570737	27.7710627690644	1.10571022497953E-05	0	0	0	0.913532512071608	0.900747706457095	19.1153466103528	2.5060024104985	0	0
10/15/2010	30.5358645344939	27.7925119988626	5.01991665517569E-10	0	0	0	0.912977434986398	0.900200392518558	18.2023772632921	1.62897223076602	0	0
10/16/2010	30.5202881053383	27.774051154703	2.27903863558304E-14	0	0	0	0.900069172003996	0.887472774536676	17.3023164126513	1.06544554634134	0	0
10/17/2010	30.4677553787411	27.7254388990321	1.03468193981575E-18	0	0	0	0.918702479877911	0.905845305549615	16.3836227827099	0.70031903285331	0	0
10/18/2010	30.3881915659564	27.6540498962746	4.69744873940986E-23	0	0	0	0.918172569502432	0.905322806037635	15.4654594153674	0.462229563433686	0	0
10/19/2010	30.2888107593532	27.5655025989817	2.13263842832012E-27	0	0	0	0.874876596131336	0.862632751942482	14.5905919290383	0.306176690131208	0	0
10/20/2010	30.1749166036956	27.4640911981052	9.68216348545388E-32	0	0	0	0.85988356221301	0.847849539718614	13.7307176572018	0.203450558246528	0	0
10/21/2010	30.0504408431455	27.3531039512983	4.39569542188749E-36	0	0	0	0.774896955930781	0.76405231182968	12.9558293776457	0.135575004279042	0	0
10/22/2010	29.918317187093	27.235062100676	1.99564263410927E-40	0	0	0	0.774505224359713	0.763666058092671	12.1813331300409	0.0905784250574261	0	0
10/23/2010	29.7807460405166	27.1119006032266	9.06020354195384E-45	0	0	0	0.823647326502478	0.812120413975126	11.35769567462	0.0606604126104326	0	0
10/24/2010	29.5809087638676	26.9243729603879	0.000239731909938287	0	0.00631626790327822	0	0.846564708887401	0.846564708887401	11.737533111434	0.111110703899767	0	1.3150365
10/25/2010	31.8139537392194	26.8060004639403	0.0411811037845737	0.0221517447856455	0.0662263003176715	0	0.960889657452606	0.960889657452606	17.9124099943936	1.37092750381384	0	8.635850332
10/26/2010	65.1738336389762	26.74685432278	0.0985734139682736	0.856816739527068	0.0901961437519764	0	0.967082583240969	0.967082583240969	28.0702546724819	2.9050227766763	0	14.45584422
10/27/2010	29.3832532280686	26.7451981443108	4.47522607061072E-06	0	0	0	0.960162255959853	0.946724800184128	27.1101054429801	1.87781562095617	0	0
